song_name,song_release,song_artist
Replay,Massive R&B Spring 2010,Iyaz
"Dirty Movies"" (Album Version)",Fair Warning,Van Halen
T's Groove,Infinitesimal Flash,John Tchicai
Shadow Stabbing,Comfort Eagle,Cake
Comfort Eagle,Comfort Eagle,Cake
Quase Sem Querer,Dois,Legião Urbana
Never There,Prolonging the Magic,Cake
Short Skirt/Long Jacket,Comfort Eagle,Cake
DAYBREAK'S BELL,KISS,L'Arc~en~Ciel
All The Days,Origin,Villa Nah
Delilah,Live / The Penthouse Tapes,The Sensational Alex Harvey Band
An Unsavoury Urge,Lumina,The Rogue Element
Falling,Digitalis,Isan
Encontro,Maria Gadú,Maria Gadú
Overture/And All That Jazz,Chicago - Music From The Miramax Motion Picture,Catherine Zeta-Jones;Renée Zellweger;Taye Diggs
Escudos,Maria Gadú,Maria Gadú
Baba,Maria Gadú,Maria Gadú
Stay,Essential Eternal,Eternal
Kill The President,Rupture - Pyschosis,Coffin Break
Laranja (feat. Leandro Léo),Maria Gadú,Maria Gadú
Commissioning A Symphony In C,Comfort Eagle,Cake
Na zore,Belovodie,Moon far away
Stickshifts And Safetybelts,Fashion Nugget,Cake
Mexico,Prolonging the Magic,Cake
Mahna_ Mahna,b-sides and rarities,Cake
Falling Slowly (Live),Strict Joy [Deluxe Edition],The Swell Season
Frank Sinatra,Fashion Nugget,Cake
Long Line Of Cars,Comfort Eagle,Cake
Leve Com Você,Nova Bis-Natiruts,Natiruts
Let Me Go,Prolonging the Magic,Cake
Lounge,Maria Gadú,Maria Gadú
A História de Lilly Braun,Maria Gadú,Maria Gadú
Party,Don't Forget,Demi Lovato
Can't Smile Without You,Ultimate Manilow,Barry Manilow
Naturally,Kiss & Tell,Selena Gomez & The Scene
Until You're Mine,Don't Forget,Demi Lovato
Strutter '78,Double Platinum,Kiss
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean
Take A Chance On Me,The Definitive Collection,Abba
Beautiful,Just Great Love Songs,Christina Aguilera
Shout It Out Loud,KISS Box Set,Kiss
Trainwreck,Don't Forget,Demi Lovato
Video Girl,A Little Bit Longer,Jonas Brothers
Sad Movies (Make Me Cry),Women of the 60's,SUE THOMPSON
Get Back,Don't Forget,Demi Lovato
I Write The Songs,The Essential Barry Manilow,Barry Manilow
Gonna Get Caught,Don't Forget,Demi Lovato
Cold Gin,Greatest Kiss,Kiss
Sample Track 2,Dance & Hip Hop Breaks,Simon Harris
Fly To Your Heart,Tinker Bell And The Lost Treasure,Selena Gomez
Pump It,Pump It,Black Eyed Peas
Don't Forget,Don't Forget,Demi Lovato
On The Line,Don't Forget,Demi Lovato / Jonas Brothers
This Is Me,Camp Rock OST,Demi Lovato/Joe Jonas
It's Raining Again,Retrospectacle - The Supertramp Anthology,Supertramp
I Gotta Feeling (FMIF Remix Edit),One Love,Black Eyed Peas
Here We Go Again,Here We Go Again,Demi Lovato
Little Red Corvette (LP Version),The Hits/The B-Sides 3,Prince
Rock And Roll All Nite,Greatest Kiss,Kiss
I Hate Myself For Loving You,Up Your Alley,Joan Jett & The Blackhearts
The Middle,Don't Forget,Demi Lovato
Tryin' To Get The Feeling Again,Tryin' To Get The Feeling,Barry Manilow
Believe In Me,Don't Forget,Demi Lovato
Me Gustas,Secreto De Amor,Joan Sebastian
Lost In Love,Greatest Hits,Air Supply
OMG,OMG - The Remixes,Usher featuring will.i.am
Back It Up,Up Your Alley,Joan Jett & The Blackhearts
Whatcha Say,Whatcha Say,Jason Derulo
Everything Is Not As It Seems,Wizards Of Waverly Place,Selena Gomez
Lay All Your Love On Me,Super Trouper,Abba
Bold O'Donahue,Sports Day At Killaloe,Fiddler's Green
Burn With Me,All That You Deserve,Signal The Escape
Mindörökké,A túlélo,Pokolgép
This Woman And This Man (Album Version),Rhino Hi-Five: Clay Walker,Clay Walker
Red Dirt Road,#1s ... and then some,Brooks & Dunn
Don't Go Near The Water,The Ultimate Collection,Sammy Kershaw
Dreaming With My Eyes Open (Album Version),Rhino Hi-Five: Clay Walker,Clay Walker
Grand Designs,The Old Road,Martin Orford
El perro verde,Coces al Aire 1997-2007,Marea
Standing On The Edge Of Goodbye,Greatest Hits,John Berry
Blindfold,Parts Of The Process,Morcheeba
Third Rate Romance,Feelin' Good Train,Sammy Kershaw
One_ Two_ I Love You (Album Version),Rumor Has It,Clay Walker
Galaxy,Siren,Zion Train
He Didn't Have To Be,Who Needs Pictures,Brad Paisley
I Am That Man,#1s ... and then some,Brooks & Dunn
Roll With Us,Double R,Bizzy Bone Presents
Boot Scootin' Boogie,Brand New Man,Brooks & Dunn
Break Up With Him (The Break-Up Song),The Car Is On Fire,The Car Is On Fire
Queen Of My Double Wide Trailer,Best Of Sammy Kershaw: 20th Century Masters: The Millennium Collection,Sammy Kershaw
I'm Gonna Miss Her,Part II,Brad Paisley
Cheree,Suicide,Suicide
When I Get Where I'm Going,Time Well Wasted,Brad Paisley;Dolly Parton
Waitin' On A Woman,Play,Brad Paisley With Andy Griffith
She's Not The Cheatin' Kind,#1s ... and then some,Brooks & Dunn
Hard Workin' Man,The Greatest Hits Collection,Brooks & Dunn
Elegant People,The Best Of Weather Report,Weather Report
No Hay Nada Mas,The Ecstatic,Mos Def
My Freestyle,Diversité,Dub Incorporation
J'ai Mal Au Mic,L'amour Est Mort,Oxmo Puccino
Eh Connard,Entre Ciment Et Belle Etoile,Keny Arkana
Hammers Sitting Still (Live),Trying Hartz,Danielson
Stilettos [Pumps] [L.E.X. High Heels Mix Edit],Stilettos [Pumps],Crime Mob
Down On The Corner,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival
History,The Ecstatic,Mos Def / Talib Kweli
Jeunesse Du Monde,Entre Ciment Et Belle Etoile,Keny Arkana
Le Surveillant Général,Long Box,Michel Sardou
Visions,Diversité,Dub Incorporation
Surfin' Bird,Crusin' The 66,The Trashmen
Life In Marvelous Times,The Ecstatic,Mos Def
You Never Know Just How Good You've Got It,No Ordinary Man,Tracy Byrd
Ils Ont Peur De La Liberté,Entre Ciment Et Belle Etoile,Keny Arkana
The Bloody Assizes,Fried,Julian Cope
Refuse To Lose,Everything Is Nice: The Matador Records 10th Anniversary Anthology,Non Phixion
In The Flesh,The Essential Collection,Blondie
Blue In Green,Blue Moods,Miles Davis
Do We Need This?,Uno,Muse
Ripped To Shreds (feat. Vinnie Paz_ Celph Titled & Demoz),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Dead Shall Rise (feat. Demoz_ Celph Titled_ Planetary_ Reef The Lost Cauze_ Vinnie Paz & Apathy),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Seafarer,Light & Dark,Kate Walsh
Stripper Vicar,Legacy: The Best Of Mansun,Mansun
Life On Your Own,Hysteria,The Human League
On A Plain,90's Anthems,Nirvana
Roses,The Ecstatic,Mos Def / Georgia Anne Muldrow
Yesterday Once More,Love Songs,Carpenters
Hoping (Naughty's Couture),Hoping,Louie Austen
Contra Mantra (feat. Crypt The Warchild_ King Syze & Vinnie Paz),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Revelations,The Ecstatic,Mos Def
Wahid,The Ecstatic,Mos Def
Mama Your Boys Will Find A Home,Mama Your Boys Will Find A Home,Scissors For Lefty
Supermagic,The Ecstatic,Mos Def
Bust 'Em In (feat. Reef The Lost Cauze_ Apathy & Celph Titled),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Le Fardeau,Entre Ciment Et Belle Etoile,Keny Arkana
Flake,Brushfire Fairytales,Jack Johnson
Carried Out To Sea (Demo Version),Couple Tracks: Singles 2002-2009,Fucked Up
Entre Les Mots : Enfant De La Terre,Entre Ciment Et Belle Etoile,Keny Arkana
Suplex (feat. Des Devious_ Demoz_ King Syze & Vinnie Paz),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Sr. Libro y Sr. Calle,Un Dia En Suburbia,Nach
We Don't No How 2 Act,How High,Method Man / Redman
Sayat Nova,Moon Shines At Night,Djivan Gasparyan
Ciúmes Da Lua,Segredos,João Pedro Pais
Bonnie And Clyde,Initials SG,Brigitte Bardot / Serge Gainsbourg
So I Thought,Flyleaf,Flyleaf
Madan,Moffou,Salif Keita
Glamour Girl,Iguana,Louie Austen
Tudo Que Eu Sempre Quis,Perdas E Ganhos,Liah
She Moves In Her Own Way,Inside In / Inside Out,The Kooks
Sempre Teu Amor,Tudo Azul,Velha Guarda Da Portela
Cueille Ta Vie,Entre Ciment Et Belle Etoile,Keny Arkana
Ms. Fat Booty,Rawkus Records - Best of Decade I 1995-2005,Mos Def
The Invasion (Aka Black Wa Da Da),Chant Down Babylon: The Island Anthology,Burning Spear
Yamore,Moffou,Salif Keita / Cesária Évora
Emerge,#1,Fischerspooner
Every Time She Turns Round It's Her Birthday,Up In Flames,Caribou (formerly Dan Snaith's Manitoba)
Ibhola Lethu (Our Football Team),The Best Of Johnny Clegg & Savuka - In My African Dream,Johnny Clegg & Savuka
Le Chanteur,L'Inoubliable,Daniel Balavoine
'Round Midnight,Discover Miles Davis,Miles Davis
Auditorium,The Ecstatic,Mos Def / Slick Rick
California Dreamin',The Best Sixties Album In The World...Ever!,The Mamas & The Papas
Le Missile Suit Sa Lancée,Entre Ciment Et Belle Etoile,Keny Arkana
Dle Yaman (Album Version),I Will Not Be Sad In This World,Djivan Gasparyan And Vachagan Avakian
Bring The Pain,Tical,Method Man
Restless,Lange Presents Intercity: Summer 2009,Oliver Smith
Spaz Out (feat. Apathy_ King Magnetic_ Esoteric & Celph Titled),Army Of The Pharaohs: The Unholy Terror,Jedi Mind Tricks
Where Did It Go Wrong,Melody,Sharleen Spiteri
J'aurais bien voulu,Dances of Resistance,Babylon Circus
yue quan shi,Time Flies,Alex Fong
Where Is My Mind?,Wave Of Mutilation: Best Of Pixies,Pixies
Belle de Jour,Daily Lama,De-Phazz
In Lonelienes,Enthraled by the Wind of Lonelienes,Raison D'être
Parade acoustique,Dances of Resistance,Babylon Circus
Interlude Barbare,Dances of Resistance,Babylon Circus
Jailbreak,Artist Karaoke Vol. 36 (Sing the Songs of AC/DC),Charttraxx Karaoke
I Love The Dead (Album Version),Billion Dollar Babies,Alice Cooper
M1 A1,Gorillaz (Clean),Gorillaz
Outro,Los De Atrás Vienen Conmigo,Calle 13
Vem Vet,Lisa Ekdahl,Lisa Ekdahl
Purer_ Softer_ Deader,Happens Secretly,Kippi Kaninus
When You're Gone,When You're Gone,Avril Lavigne
"The Next Time You Say ""Forever",Middle Cyclone,Neko Case
Hit The Lights,Some Kind Of Monster,Metallica
Rise,Compact Disc,Public Image Ltd
Celebration,Collection,Osibisa
Nippon Takeover,Nippon Takeover Ep,Tsunami Wazahari
Fiction,15 MINUTES,Nik Kershaw
La Aguacatona,Calle 13 (Explicit Version),Calle 13
Dances of Resistance,Dances of Resistance,Babylon Circus
La Grasa De Las Capitales,Grasa De Las Capitales,Seru Giran
Intro,Residente o Visitante,Calle 13
Chew,The Sky Is Falling and I Want My Mommy,Jello Biafra With Nomeansno
Theme From Gutbuster (Rasmus Remix Edit),Theme From 'Gutbuster' (playlist 2),Bentley Rhythm Ace
It's My Life,New Romantics,Talk Talk
In The Hands Of The Gods (Featuring Biz Markie),Fragments Of Freedom,Morcheeba
A Limpiar El Sucio,Residente o Visitante,Calle 13
A Decent Life,Give Me Fire,Mando Diao
Love Is A Losing Game,Frank & Back to Black,Amy Winehouse
Tengo Hambre,Calle 13 (Clean Version),Calle 13
Left Hand Suzuki Method,Gorillaz,Gorillaz
Atrévete te te,Calle 13 (Explicit Version),Calle 13
Eldorado 1997,Proxima Estacion Esperanza,Manu Chao
Black River,Amos Lee,Amos Lee
Eiti-Leda,Seru Giran,Seru Giran
Bienvenidos A Mi Mundo,Los De Atrás Vienen Conmigo,Calle 13
One,The Very Best Things [1995-2008],Filter
In A Real Love,Shaken Not Stirred,Phil Vassar
Warlord,Dances of Resistance,Babylon Circus
Oh Jungleland,Themes - Volume 5,Simple Minds
Rosa,Mais,Marisa Monte
Tal Para Cual,Los De Atrás Vienen Conmigo,Calle 13
La Crema,Residente o Visitante,Calle 13
Cabe-c-o,Calle 13 (Explicit Version),Calle 13
Lost In The Jungle,Dances of Resistance,Babylon Circus
The Difference,Bringing Down The Horse,The Wallflowers
Guantanamera/ Hijo Nuestro,Greatest Hits,Todos Tus Muertos
I Don't Want To Be Late,Only Love Can Conquer 1976-1979,Prince Alla
Algo Con-Sentido,Residente o Visitante,Calle 13 Featuring pg-13
Billy Breathes,Billy Breathes,Phish
New York City Cops,Is This It,The Strokes
Electro Movimiento,Latin 101,Calle 13
The Boston Rag,The Very Best Of Steely Dan,Steely Dan
Esto Con Eso,Los De Atrás Vienen Conmigo,Calle 13
La Perla,Los De Atrás Vienen Conmigo,Calle 13 Feat. Rubén Blades Y La Chilinga
Spirit,The Collection,Sounds Of Blackness / Craig Mack
Thoia Thoing,The R. In R&B Collection: Volume 1,R. Kelly
Sugar Sugar,Original Hits - Number 1s,The Archies
Survivor,Ministry of Sound Miami Live 2008,Tiger Stripes
One Way,Visual Paradox,Code Of Ethics
Denia,Proxima Estacion Esperanza,Manu Chao
The Four Horsemen,Kill 'Em All,Metallica
Solar Powered,Masters Of The Universe,Binary Star
No Hay Nadie Como Tú,No Hay Nadie Como Tú,Calle 13 Featuring Café Tacuba
Fiesta De Locos,Los De Atrás Vienen Conmigo,Calle 13
La Fokin Moda,Residente o Visitante,Calle 13
Pi-di-di-di,Calle 13 (Clean Version),Calle 13
Sin Exagerar,Residente o Visitante,Calle 13 Featuring Tego Calderón
Un Beso de Desayuno,Residente o Visitante,Calle 13
Together In Electric Dreams,The Greatest Hits,The Human League
The Lark,Live In Dublin,Moving Hearts
Marbres,Common Chord (Live),Encre
Intel-lú-Ayala,Calle 13 (Clean Version),Calle 13
Spiders And Flies,Love And Other Demons,Strangelove
Help Yourself,Frank,Amy Winehouse
Some Unholy War,Frank & Back to Black,Amy Winehouse
Stronger Than Me,Frank (Rarities Edition),Amy Winehouse
You Know I'm No Good,You Know I'm No Good - GFK Version,Amy Winehouse
I Heard Love Is Blind,Frank,Amy Winehouse
October Song,Frank & Back to Black,Amy Winehouse
Back To Black,Back To Black,Amy Winehouse
Know You Now,Frank,Amy Winehouse
Amy Amy Amy / Outro,Frank,Amy Winehouse
Wake Up Alone,Frank & Back to Black,Amy Winehouse
Just Friends,Back To Black,Amy Winehouse
He Can Only Hold Her,Back To Black,Amy Winehouse
On The Other Hand (Album Version),Storms Of Life,Randy Travis
It's Me I'm Worried About,Old Things New,Joe Nichols
Goodbye Time (Album Version),Blake Shelton's Barn And Grill,Blake Shelton
Twentytwofourteen,In A Safe Place,The Album Leaf
The One,Alright Guy,Gary Allan
Rebels Without a Clue,Greatest Hits Volume 3: Deluxe Edition,Bellamy Brothers
Right Where I Need To Be,Greatest Hits,Gary Allan
She Only Smokes When She Drinks,Man With A Memory,Joe Nichols
Another Side Of You,Real Things,Joe Nichols
Songs About Rain,Greatest Hits,Gary Allan
It Would Be You,Greatest Hits,Gary Allan
Me & U,Chilled R&B Volume II,Cassie Feat. Diddy & Yung Joc
Come Around,My Holiday,Mindy Smith
Always The Love Songs,Jet Black & Jealous,Eli Young Band
War Start,Mr. Lex,Lexxus
Voices On A String (Album Version),Kill The House Lights,Thursday
Ebonics,The Big Picture,Big L
Joe Dallesandro,Jumping On Cars,Briskeby
Born To Roll,Sittin' On Chrome,Masta Ace Incorporated
The Man Who Sold The World,MTV Unplugged In New York,Nirvana
Learn To Fly,There Is Nothing Left To Lose,Foo Fighters
Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles
Bow Down,Bow Down,Westside Connection
Full Clip (Explicit),Full Clip: A Decade Of Gang Starr,Gang Starr
Thinking About You,Pablo Honey,Radiohead
White Room,I Feel Free - Ultimate Cream,Cream
Real Hip-Hop (Pete Rock Remix),Rhino-Hi-Five: Das EFX,Das EFX
The Seed (2.0),Phrenology,The Roots / Cody Chestnutt
You Learn (Album Version),The Collection,Alanis Morissette
Velvet (2006 Remastered LP Version),Mary Is Coming,Savoy
BUCKTOWN,DAH INSTRUMENTALZ,Smif-n-Wessun
What Goes Around...Comes Around,What Goes Around... Comes Around,Justin Timberlake
You're Not Alone,The Pop Years 1996 - 1997,Olive
Oh...Canada,Self Explanatory,Classified
Ironic (Acoustic Album Version),Jagged Little Pill Acoustic,Alanis Morissette
The Pretender,Echoes_ Silence_ Patience & Grace,Foo Fighters
Café Del Mar,Café Del Mar,Energy 52
Not In Love,Crystal Castles ( II ),Crystal Castles
En resa,Bananer - bland annat...,Cornelis Vreeswijk
They Reminisce Over You (Single Version),Mecca And The Soul Brother,Pete Rock & C.L. Smooth
Bitter Sweet Symphony,Bitter Sweet Symphony,The Verve
Full Circle,Breakout,Miley Cyrus
Halo,Halo,Beyoncé
Harder Better Faster Stronger,Discovery,Daft Punk
Move Along,Move Along,The All-American Rejects
Uprising,Uprising,Muse
Seven Nation Army,Seven Nation Army,The White Stripes
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine
The Saltwater Room,Ocean Eyes,Owl City
Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas
Tangled Up,Not Without A Fight,New Found Glory
Disappear,Wizards Of Waverly Place,Selena Gomez
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat
'Till I Collapse,The Eminem Show,Eminem / Nate Dogg
Decades Of Despair,Aren´t You Dead Yet?,Carnal Forge
Bottom of a Bottle (Explicit Album Version),Bottom Of A Bottle,Smile Empty Soul
Wish You Were Here,Morning View,Incubus
They Might Follow You,Tiny Vipers,Tiny Vipers
Naturally,Kiss & Tell,Selena Gomez & The Scene
Enter Sandman,Metallica,Metallica
Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park
Clocks,A Rush Of Blood To The Head,Coldplay
My Happy Ending,Under My Skin,Avril Lavigne
Whataya Want From Me,Whataya Want From Me,Adam Lambert
Dental Care,Ocean Eyes,Owl City
American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day
Day 'N' Nite,R&B Yearbook,Kid Cudi Vs Crookers
Somebody To Love,My Worlds,Justin Bieber
Hey_ Soul Sister,Save Me_ San Francisco,Train
Mia,First Love,Emmy The Great
Breakeven,Now That's What I Call Music! 72,The Script
One Time,One Time,Justin Bieber
Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean
Crawling (Album Version),Hybrid Theory,Linkin Park
The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses
Times Like These,On And On,Jack Johnson
Monster,The Fame Monster,Lady GaGa
Just Dance,Just Dance,Lady GaGa / Colby O'Donis
Down To Earth,My World,Justin Bieber
Lean Back [Remix feat. Lil Jon_ Eminem_ Mase & Remy Martin] (Album Version - Amended),All Or Nothing,Fat Joe
Hey There Delilah,Now That's What I Call Music! 68,Plain White T's
Sehr kosmisch,Musik von Harmonia,Harmonia
Far Away (Album Version),All The Right Reasons,Nickelback
When It All Goes Wrong Again,Songs From An American Movie_ Vol. Two: Good Time For A Bad Attitude,Everclear
U Smile,My Worlds,Justin Bieber
Livin' On A Prayer,Cross Road,Bon Jovi
Gives You Hell,When The World Comes Down,The All-American Rejects
Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber
A-Punk (Album),Vampire Weekend,Vampire Weekend
Vanilla Twilight,Ocean Eyes,Owl City
Love Me,My Worlds,Justin Bieber
Superman,The Eminem Show,Eminem / Dina Rae
Karma Police,OK Computer (Collector's Edition),Radiohead
Imperfection (Album Version),Collide,Skillet
Mockingbird,R&B 2006,Eminem
Twisted,Kicked In The Teeth,Zeke
Te Amo,Rated R,Rihanna
Black,Ten,Pearl Jam
That Should Be Me,My Worlds,Justin Bieber
Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris
